№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Arsenal,13,9,3,1,27,10,30,24.88-2.12,12.71+2.71,24.10-5.90
2,Manchester City,13,9,2,2,33,13,29,29.70-3.30,12.04-0.96,28.17-0.83
3,Liverpool,13,8,4,1,28,11,28,29.10+1.10,17.38+6.38,24.82-3.18
4,Tottenham,12,8,2,2,24,15,26,21.61-2.39,18.88+3.88,19.41-6.59
5,Aston Villa,12,8,1,3,29,17,25,24.96-4.04,16.56-0.44,22.61-2.39
6,Newcastle United,13,7,2,4,31,14,23,28.41-2.59,14.08+0.08,25.98+2.98
7,Brighton,13,6,4,3,28,23,22,23.29-4.71,20.36-2.64,19.69-2.31
8,Manchester United,12,7,0,5,13,16,21,18.43+5.43,19.77+3.77,16.32-4.68
9,West Ham,13,6,2,5,23,23,20,20.40-2.60,25.47+2.47,15.33-4.67
10,Chelsea,13,4,4,5,22,20,16,27.73+5.73,18.78-1.22,23.24+7.24
11,Brentford,13,4,4,5,19,18,16,24.97+5.97,18.69+0.69,21.13+5.13
12,Wolverhampton Wanderers,12,4,3,5,16,20,15,16.91+0.91,22.09+2.09,13.26-1.74
13,Crystal Palace,13,4,3,6,13,18,15,17.21+4.21,19.36+1.36,16.56+1.56
14,Everton,12,4,2,6,14,17,14,20.80+6.80,17.91+0.91,18.63+4.63
15,Nottingham Forest,13,3,4,6,16,21,13,16.06+0.06,20.41-0.59,15.02+2.02
16,Fulham,12,3,3,6,10,20,12,12.88+2.88,21.87+1.87,11.27-0.73
17,Bournemouth,13,3,3,7,14,28,12,18.72+4.72,27.58-0.42,13.12+1.12
18,Luton,13,2,3,8,12,23,9,16.66+4.66,32.45+9.45,10.06+1.06
19,Sheffield United,13,1,2,10,11,34,5,10.05-0.95,32.84-1.16,6.36+1.36
20,Burnley,13,1,1,11,10,32,4,11.89+1.89,25.47-6.53,9.78+5.78
