No,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Manchester City,12,9,1,2,32,12,28,27.91,11.27,26.0
2,Liverpool,12,8,3,1,27,10,27,28.33,15.58,24.21
3,Arsenal,12,8,3,1,26,10,27,23.06,11.05,22.65
4,Tottenham,12,8,2,2,24,15,26,21.61,18.88,19.41
5,Aston Villa,12,8,1,3,29,17,25,24.96,16.56,22.61
6,Manchester United,12,7,0,5,13,16,21,18.43,19.77,16.32
7,Newcastle United,12,6,2,4,27,13,20,26.26,13.11,23.73
8,Brighton,12,5,4,3,25,21,19,22.08,18.14,19.06
9,West Ham,12,5,2,5,21,22,17,19.03,24.03,14.06
10,Chelsea,12,4,4,4,21,16,16,26.76,16.63,22.68
11,Brentford,12,4,4,4,19,17,16,23.3,16.86,19.86
12,Wolverhampton Wanderers,12,4,3,5,16,20,15,16.91,22.09,13.26
13,Crystal Palace,12,4,3,5,12,16,15,15.38,18.36,14.54
14,Everton,12,4,2,6,14,17,14,20.8,17.91,18.63
15,Nottingham Forest,12,3,4,5,14,18,13,13.84,19.19,12.88
16,Fulham,12,3,3,6,10,20,12,12.88,21.87,11.27
17,Bournemouth,12,2,3,7,11,27,9,15.58,26.76,10.43
18,Luton,12,1,3,8,10,22,6,15.66,30.61,9.34
19,Sheffield United,12,1,2,9,10,31,5,9.23,29.7,6.15
20,Burnley,12,1,1,10,9,30,4,10.45,24.1,8.36
