TeamID,TeamName,MarketValue
281,Manchester City,1260000000
11,Arsenal FC,1100000000
631,Chelsea FC,999000000
31,Liverpool FC,877300000
985,Manchester United,877300000
148,Tottenham Hotspur,747600000
762,Newcastle United,650500000
405,Aston Villa,630700000
379,West Ham United,470850000
1237,Brighton & Hove Albion,468300000
703,Nottingham Forest,395580000
1148,Brentford FC,379100000
873,Crystal Palace,369450000
29,Everton FC,350700000
989,AFC Bournemouth,343500000
543,Wolverhampton Wanderers,320480000
931,Fulham FC,304000000
1132,Burnley FC,256750000
350,Sheffield United,154950000
1031,Luton Town,87200000
