No,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Arsenal FC,13,9,3,1,27,10,30,24.88,12.71,24.1
2,Manchester City,13,9,2,2,33,13,29,29.7,12.04,28.17
3,Liverpool FC,13,8,4,1,28,11,28,29.1,17.38,24.82
4,Tottenham Hotspur,12,8,2,2,24,15,26,21.61,18.88,19.41
5,Aston Villa,12,8,1,3,29,17,25,24.96,16.56,22.61
6,Newcastle United,13,7,2,4,31,14,23,28.41,14.08,25.98
7,Brighton & Hove Albion,13,6,4,3,28,23,22,23.29,20.36,19.69
8,Manchester United,12,7,0,5,13,16,21,18.43,19.77,16.32
9,West Ham United,13,6,2,5,23,23,20,20.4,25.47,15.33
10,Chelsea FC,13,4,4,5,22,20,16,27.73,18.78,23.24
11,Brentford FC,13,4,4,5,19,18,16,24.97,18.69,21.13
12,Wolverhampton Wanderers,12,4,3,5,16,20,15,16.91,22.09,13.26
13,Crystal Palace,13,4,3,6,13,18,15,17.21,19.36,16.56
14,Everton FC,12,4,2,6,14,17,14,20.8,17.91,18.63
15,Nottingham Forest,13,3,4,6,16,21,13,16.06,20.41,15.02
16,Fulham FC,12,3,3,6,10,20,12,12.88,21.87,11.27
17,AFC Bournemouth,13,3,3,7,14,28,12,18.72,27.58,13.12
18,Luton Town,13,2,3,8,12,23,9,16.66,32.45,10.06
19,Sheffield United,13,1,2,10,11,34,5,10.05,32.84,6.36
20,Burnley FC,13,1,1,11,10,32,4,11.89,25.47,9.78
